GEO_ID,NAME,VAL,TON,vulnerability_score,risk_tier,predicted_tier
E330000US0634800000,"Los Angeles-Long Beach, CA CFS Area; California",7963786,2600915,0.8819,High,High
E330000US4828800000,"Houston-The Woodlands, TX CFS Area; Texas",4234584,3688463,0.7186,High,High
E330000US1717600000,"Chicago-Naperville, IL-IN-WI CFS Area (part); Illinois",4290270,1826711,0.5206,High,High
E330000US4820600000,"Dallas-Fort Worth, TX-OK CFS Area (part); Texas",3757121,2004621,0.4997,High,High
E330000US4899999999,"Remainder of Texas, Texas",2166305,2499898,0.4335,High,High
E330000US1799999999,"Remainder of Illinois, Illinois",1649079,2143013,0.3557,High,High
E330000US4299999999,"Remainder of Pennsylvania, Pennsylvania",2254797,1619762,0.3446,High,High
E330000US0648800000,"San Jose-San Francisco-Oakland, CA CFS Area; California",2676802,1208140,0.3317,High,High
E330000US1312200000,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CFS Area (part); Georgia",2810434,932929,0.3119,High,High
E330000US5599999999,"Remainder of Wisconsin, Wisconsin",1907979,1545598,0.3104,High,High
E330000US3440800000,"New York-Newark, NY-NJ-CT-PA CFS Area (part); New Jersey",2941650,810172,0.3085,High,High
E330000US1899999999,"Remainder of Indiana, Indiana",1478665,1364914,0.2583,High,High
E330000US2199999999,"Remainder of Kentucky, Kentucky",1304216,1365364,0.2452,High,Medium
E330000US5350000000,"Seattle-Tacoma, WA CFS Area; Washington",2123684,772235,0.2427,High,Medium
E330000US2622000000,"Detroit-Warren-Ann Arbor, MI CFS Area; Michigan",2208645,712883,0.2426,Medium,High
E330000US3640800000,"New York-Newark, NY-NJ-CT-PA CFS Area (part); New York",2123462,693455,0.2341,Medium,Medium
E330000US2737800000,"Minneapolis-St. Paul, MN-WI CFS Area (part); Minnesota",1694483,950523,0.2296,Medium,High
E330000US2514800000,"Boston-Worcester-Providence, MA-RI-NH-CT CFS Area (part); Massachusetts",1998837,723016,0.2279,Medium,High
E330000US4848400000,"San Antonio-New Braunfels-Pearsall, TX CFS Area; Texas",1051265,1292332,0.2182,Medium,Medium
E330000US5699999999,"Remainder of Wyoming, Wyoming",174295,1865677,0.2143,Medium,Low
E330000US2240600000,"New Orleans-Metairie-Hammond, LA-MS CFS Area (part); Louisiana",841834,1341376,0.2077,Medium,Medium
E330000US2799999999,"Remainder of Minnesota, Minnesota",854337,1289970,0.2031,Medium,Medium
E330000US2699999999,"Remainder of Michigan, Michigan",1100176,1033337,0.1938,Medium,Medium
E330000US5499999999,"Remainder of West Virginia, West Virginia",436544,1455814,0.1896,Medium,Low
E330000US1299999999,"Remainder of Florida, Florida",867980,1040592,0.177,Medium,Medium
