rank,GEO_ID_origin,NAME_origin,GEO_ID_dest,NAME_dest,VAL_origin,VAL_dest,distance_miles,distance_used,dist_floored,gravity,gravity_norm
1,E330000US4242800000,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CFS Area (part); Pennsylvania",E330000US3442800000,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CFS Area (part); New Jersey",1106517,796192,16.96,16.96,False,3062839252.9592376,1.0
2,E330000US3442800000,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CFS Area (part); New Jersey",E330000US4242800000,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CFS Area (part); Pennsylvania",796192,1106517,16.96,16.96,False,3062839252.9592376,1.0
3,E330000US3440800000,"New York-Newark, NY-NJ-CT-PA CFS Area (part); New Jersey",E330000US3640800000,"New York-Newark, NY-NJ-CT-PA CFS Area (part); New York",2941650,2123462,60.14,60.14,False,1727064847.884589,0.563877075016284
4,E330000US3640800000,"New York-Newark, NY-NJ-CT-PA CFS Area (part); New York",E330000US3440800000,"New York-Newark, NY-NJ-CT-PA CFS Area (part); New Jersey",2123462,2941650,60.14,60.14,False,1727064847.884589,0.563877075016284
5,E330000US2117800000,"Cincinnati-Wilmington-Maysville, OH-KY-IN CFS Area (part); Kentucky",E330000US1899999999,"Remainder of Indiana, Indiana",190029,1478665,13.84,13.84,False,1466957378.7390573,0.4789534308568337
6,E330000US1899999999,"Remainder of Indiana, Indiana",E330000US2117800000,"Cincinnati-Wilmington-Maysville, OH-KY-IN CFS Area (part); Kentucky",1478665,190029,13.84,13.84,False,1466957378.7390573,0.4789534308568337
7,E330000US3745000000,"Raleigh-Durham-Cary, NC CFS Area; North Carolina",E330000US3726800000,"Greensboro--Winston-Salem--High Point, NC CFS Area; North Carolina",596094,866810,24.86,24.86,False,836058015.2150515,0.2729682923894758
8,E330000US3726800000,"Greensboro--Winston-Salem--High Point, NC CFS Area; North Carolina",E330000US3745000000,"Raleigh-Durham-Cary, NC CFS Area; North Carolina",866810,596094,24.86,24.86,False,836058015.2150515,0.2729682923894758
9,E330000US0927825540,"Hartford-East Hartford-Middletown, CT CFS Area; Connecticut",E330000US0940800000,"New York-Newark, NY-NJ-CT-PA CFS Area (part); Connecticut",563855,538785,20.39,20.39,False,730715770.7080734,0.23857463458004527
10,E330000US0940800000,"New York-Newark, NY-NJ-CT-PA CFS Area (part); Connecticut",E330000US0927825540,"Hartford-East Hartford-Middletown, CT CFS Area; Connecticut",538785,563855,20.39,20.39,False,730715770.7080734,0.23857463458004527
11,E330000US2999999999,"Remainder of Missouri, Missouri",E330000US2931200000,"Kansas City-Overland Park-Kansas City, MO-KS CFS Area (part); Missouri",805837,453419,24.55,24.55,False,606239076.0001825,0.19793368504390213
12,E330000US2931200000,"Kansas City-Overland Park-Kansas City, MO-KS CFS Area (part); Missouri",E330000US2999999999,"Remainder of Missouri, Missouri",453419,805837,24.55,24.55,False,606239076.0001825,0.19793368504390213
