failed_area,origin,destination,orig_miles,new_miles,extra_miles,disconnected,orig_path_hops,new_path_hops
"Los Angeles-Long Beach, CA",Atlanta--Athens-Clarke County--S…,"Urban Honolulu, HI",4593.2,4646.1,52.9,False,9,11
"Los Angeles-Long Beach, CA",Atlanta--Athens-Clarke County--S…,"Remainder of Hawaii, Hawaii",4532.7,4594.0,61.3,False,9,11
"Los Angeles-Long Beach, CA","Remainder of Florida, Florida","Urban Honolulu, HI",4622.4,4700.2,77.9,False,9,9
"Los Angeles-Long Beach, CA","Remainder of Florida, Florida","Remainder of Hawaii, Hawaii",4561.9,4642.6,80.8,False,9,9
"Los Angeles-Long Beach, CA","Remainder of Alabama, Alabama","Urban Honolulu, HI",4503.9,4556.8,52.9,False,9,11
"Los Angeles-Long Beach, CA","Remainder of Alabama, Alabama","Remainder of Hawaii, Hawaii",4443.4,4504.7,61.3,False,9,11
"Los Angeles-Long Beach, CA",Miami-Port St. Lucie-Fort Lauder…,"Urban Honolulu, HI",4980.8,5058.6,77.9,False,10,10
"Los Angeles-Long Beach, CA",Miami-Port St. Lucie-Fort Lauder…,"Remainder of Hawaii, Hawaii",4920.2,5001.0,80.8,False,10,10
"Los Angeles-Long Beach, CA","Remainder of Arkansas, Arkansas","Urban Honolulu, HI",4099.1,4152.0,52.9,False,6,8
"Los Angeles-Long Beach, CA","Remainder of Arkansas, Arkansas","Remainder of Hawaii, Hawaii",4038.6,4099.9,61.3,False,6,8
"Los Angeles-Long Beach, CA","Remainder of Georgia, Georgia","Urban Honolulu, HI",4692.7,4745.6,52.9,False,9,11
"Los Angeles-Long Beach, CA","Remainder of Georgia, Georgia","Remainder of Hawaii, Hawaii",4632.2,4693.5,61.3,False,9,11
"Los Angeles-Long Beach, CA","Phoenix-Mesa, AZ","Urban Honolulu, HI",2985.4,3068.2,82.9,False,3,4
"Los Angeles-Long Beach, CA","Phoenix-Mesa, AZ","Remainder of Hawaii, Hawaii",2924.8,3010.7,85.8,False,3,4
"Los Angeles-Long Beach, CA","Orlando-Lakeland-Deltona, FL","Urban Honolulu, HI",4827.3,4905.2,77.9,False,10,10
"Los Angeles-Long Beach, CA","Orlando-Lakeland-Deltona, FL","Remainder of Hawaii, Hawaii",4766.8,4847.6,80.8,False,10,10
"Los Angeles-Long Beach, CA","Birmingham-Hoover-Talladega, AL","Urban Honolulu, HI",4440.5,4493.4,52.9,False,8,10
"Los Angeles-Long Beach, CA","Birmingham-Hoover-Talladega, AL","Remainder of Hawaii, Hawaii",4380.0,4441.3,61.3,False,8,10
"Los Angeles-Long Beach, CA","San Diego-Chula Vista-Carlsbad, …","Urban Honolulu, HI",2691.7,2786.4,94.8,False,3,3
"Los Angeles-Long Beach, CA","San Diego-Chula Vista-Carlsbad, …","Remainder of Hawaii, Hawaii",2631.1,2728.8,97.7,False,3,3
"Los Angeles-Long Beach, CA","Tampa-St. Petersburg-Clearwater,…","Urban Honolulu, HI",4775.5,4853.4,77.9,False,10,10
"Los Angeles-Long Beach, CA","Tampa-St. Petersburg-Clearwater,…","Remainder of Hawaii, Hawaii",4715.0,4795.8,80.8,False,10,10
"Los Angeles-Long Beach, CA","Jacksonville-St. Marys-Palatka, …","Urban Honolulu, HI",4800.0,4877.9,77.9,False,10,10
"Los Angeles-Long Beach, CA","Jacksonville-St. Marys-Palatka, …","Remainder of Hawaii, Hawaii",4739.5,4820.3,80.8,False,10,10
"Los Angeles-Long Beach, CA","Mobile-Daphne-Fairhope, AL","Urban Honolulu, HI",4390.0,4467.9,77.9,False,8,8
"Los Angeles-Long Beach, CA","Mobile-Daphne-Fairhope, AL","Remainder of Hawaii, Hawaii",4329.5,4410.3,80.8,False,8,8
"Los Angeles-Long Beach, CA","Savannah-Hinesville-Statesboro, …","Urban Honolulu, HI",4760.7,4813.5,52.9,False,10,12
"Los Angeles-Long Beach, CA","Savannah-Hinesville-Statesboro, …","Remainder of Hawaii, Hawaii",4700.1,4761.4,61.3,False,10,12
"Los Angeles-Long Beach, CA","Tucson-Nogales, AZ","Urban Honolulu, HI",2979.4,3052.0,72.6,False,3,4
"Los Angeles-Long Beach, CA","Tucson-Nogales, AZ","Remainder of Hawaii, Hawaii",2918.9,2994.4,75.5,False,3,4
"Los Angeles-Long Beach, CA","Remainder of Arizona, Arizona","Urban Honolulu, HI",2847.7,2920.2,72.5,False,3,3
"Los Angeles-Long Beach, CA","Remainder of Arizona, Arizona","Remainder of Hawaii, Hawaii",2787.2,2862.6,75.5,False,3,3
"Los Angeles-Long Beach, CA","Urban Honolulu, HI","Houston-The Woodlands, TX",3937.3,4015.1,77.9,False,6,6
"Los Angeles-Long Beach, CA","Urban Honolulu, HI","Dallas-Fort Worth, TX-OK",3942.8,4022.9,80.2,False,6,7
"Los Angeles-Long Beach, CA","Urban Honolulu, HI","Remainder of Texas, Texas",3678.4,3756.3,77.9,False,5,5
"Los Angeles-Long Beach, CA","Urban Honolulu, HI","Remainder of Kentucky, Kentucky",4528.4,4581.2,52.9,False,9,11
"Los Angeles-Long Beach, CA","Urban Honolulu, HI",San Antonio-New Braunfels-Pearsa…,3732.7,3810.5,77.9,False,5,5
"Los Angeles-Long Beach, CA","Urban Honolulu, HI","New Orleans-Metairie-Hammond, LA…",4258.6,4336.5,77.9,False,7,7
"Los Angeles-Long Beach, CA","Urban Honolulu, HI","Remainder of West Virginia, West…",4944.9,4946.5,1.5,False,12,12
"Los Angeles-Long Beach, CA","Urban Honolulu, HI","Remainder of North Carolina, Nor…",4862.5,4915.4,52.9,False,10,12
"Los Angeles-Long Beach, CA","Urban Honolulu, HI","Remainder of Virginia, Virginia",4872.5,4925.4,52.9,False,11,13
"Los Angeles-Long Beach, CA","Urban Honolulu, HI","Remainder of Mississippi, Missis…",4360.1,4438.0,77.9,False,7,7
"Los Angeles-Long Beach, CA","Urban Honolulu, HI","Baton Rouge, LA",4224.7,4302.6,77.9,False,7,7
"Los Angeles-Long Beach, CA","Urban Honolulu, HI","Remainder of Tennessee, Tennesse…",4498.7,4551.6,52.9,False,8,10
"Los Angeles-Long Beach, CA","Urban Honolulu, HI","Austin-Round Rock-Georgetown, TX",3823.8,3901.7,77.9,False,5,5
"Los Angeles-Long Beach, CA","Urban Honolulu, HI","Beaumont-Port Arthur, TX",4048.2,4126.1,77.9,False,6,6
"Los Angeles-Long Beach, CA","Urban Honolulu, HI",Nashville-Davidson--Murfreesboro…,4434.4,4487.3,52.9,False,8,10
"Los Angeles-Long Beach, CA","Urban Honolulu, HI","Remainder of Oklahoma, Oklahoma",3959.1,4011.4,52.3,False,6,7
"Los Angeles-Long Beach, CA","Urban Honolulu, HI","Remainder of South Carolina, Sou…",4753.0,4805.9,52.9,False,10,12
"Los Angeles-Long Beach, CA","Urban Honolulu, HI",Greensboro--Winston-Salem--High …,4841.7,4894.5,52.9,False,11,13
"Los Angeles-Long Beach, CA","Urban Honolulu, HI","Corpus Christi-Kingsville-Alice,…",3910.9,3988.7,77.9,False,6,6
"Los Angeles-Long Beach, CA","Urban Honolulu, HI","Raleigh-Durham-Cary, NC",4844.3,4897.2,52.9,False,11,13
"Los Angeles-Long Beach, CA","Urban Honolulu, HI","Charlotte-Concord, NC-SC",4732.3,4785.2,52.9,False,10,12
"Los Angeles-Long Beach, CA","Urban Honolulu, HI","Memphis-Forrest City, TN-MS-AR",4233.7,4286.5,52.9,False,7,9
"Los Angeles-Long Beach, CA","Urban Honolulu, HI","Lake Charles-Jennings, LA",4080.7,4158.6,77.9,False,6,6
"Los Angeles-Long Beach, CA","Urban Honolulu, HI","Remainder of Louisiana, Louisian…",4164.6,4244.8,80.2,False,7,8
"Los Angeles-Long Beach, CA","Urban Honolulu, HI","Greenville-Spartanburg-Anderson,…",4686.7,4739.6,52.9,False,9,11
"Los Angeles-Long Beach, CA","Urban Honolulu, HI","Tulsa-Muskogee-Bartlesville, OK",3916.8,3996.8,80.0,False,6,7
"Los Angeles-Long Beach, CA","Urban Honolulu, HI",Knoxville-Morristown-Sevierville…,4535.9,4588.8,52.9,False,9,11
"Los Angeles-Long Beach, CA","Urban Honolulu, HI","Richmond, VA",5000.4,5053.2,52.9,False,12,14
"Los Angeles-Long Beach, CA","Urban Honolulu, HI","Washington-Arlington-Alexandria,…",5034.6,5084.8,50.3,False,12,13
"Los Angeles-Long Beach, CA","Urban Honolulu, HI","Oklahoma City-Shawnee, OK",3770.8,3851.0,80.2,False,5,6
"Los Angeles-Long Beach, CA","Urban Honolulu, HI","Remainder of New Mexico, New Mex…",3399.9,3482.8,82.9,False,4,5
"Los Angeles-Long Beach, CA","Urban Honolulu, HI","Remainder of Maryland, Maryland",5122.2,5146.4,24.2,False,13,10
"Los Angeles-Long Beach, CA","Urban Honolulu, HI","Washington-Arlington-Alexandria,…",5074.6,5098.0,23.4,False,13,10
