NAME,GEO_ID,COMM,COMM_LABEL,VAL,TON,us
United States,0100000US,0000,All Commodities,1922133,804713,1
United States,0100000US,0000,All Commodities,2992166,1237954,1
United States,0100000US,01,Animals and fish (live),2394,404,1
United States,0100000US,01,Animals and fish (live),0,0,1
United States,0100000US,010,Live animals and live fish,2394,404,1
United States,0100000US,010,Live animals and live fish,0,0,1
United States,0100000US,02,Cereal grains (includes seed),0,0,1
United States,0100000US,02,Cereal grains (includes seed),2966,10540,1
United States,0100000US,021,Wheat,0,0,1
United States,0100000US,022,Corn (excludes sweet),0,0,1
United States,0100000US,022,Corn (excludes sweet),1252,4946,1
United States,0100000US,029,Other cereal grains,0,0,1
United States,0100000US,029,Other cereal grains,0,0,1
United States,0100000US,03,"Agricultural products (excludes animal feed, cereal grains, and forage products)",105222,65869,1
United States,0100000US,03,"Agricultural products (excludes animal feed, cereal grains, and forage products)",134793,68730,1
United States,0100000US,031,Fresh or chilled potatoes (excludes sweet),8505,7838,1
United States,0100000US,031,Fresh or chilled potatoes (excludes sweet),12373,13549,1
United States,0100000US,032,"Fresh or chilled edible vegetables (excludes potatoes), and dried vegetables",38973,25652,1
United States,0100000US,032,"Fresh or chilled edible vegetables (excludes potatoes), and dried vegetables",60642,32162,1
United States,0100000US,033,"Fruit and nuts, edible, fresh, chilled, or dried",47026,29084,1
United States,0100000US,033,"Fruit and nuts, edible, fresh, chilled, or dried",45854,18225,1
United States,0100000US,034,Soy beans,490,1561,1
United States,0100000US,034,Soy beans,1572,2761,1
United States,0100000US,035,Oil seeds and nuts (excludes olives and soy beans),145,59,1
United States,0100000US,035,Oil seeds and nuts (excludes olives and soy beans),0,0,1
United States,0100000US,036,"Bulbs, live plants, and seeds for sowing, not elsewhere classified",0,382,1
United States,0100000US,036,"Bulbs, live plants, and seeds for sowing, not elsewhere classified",2889,1106,1
United States,0100000US,039,"Fresh-cut flowers, plants, and parts of plants, and other agricultural products",5972,1294,1
United States,0100000US,039,"Fresh-cut flowers, plants, and parts of plants, and other agricultural products",11441,923,1
United States,0100000US,04,"Animal feed, eggs, honey, and other products of animal origin",14157,8481,1
United States,0100000US,04,"Animal feed, eggs, honey, and other products of animal origin",19281,0,1
United States,0100000US,041,"Eggs, cereal straw or husks, forage products, residues and waste from the food industries used in animal feeding, other products of animal origin, not elsewhere classified",11940,5143,1
United States,0100000US,041,"Eggs, cereal straw or husks, forage products, residues and waste from the food industries used in animal feeding, other products of animal origin, not elsewhere classified",7450,4241,1
United States,0100000US,042,Animal feed preparations,2218,0,1
United States,0100000US,042,Animal feed preparations,0,0,1
United States,0100000US,05,"Meat, poultry, fish, seafood, and their preparations",344343,92145,1
United States,0100000US,05,"Meat, poultry, fish, seafood, and their preparations",504927,119222,1
United States,0100000US,051,"Meat and poultry, fresh, chilled, or frozen, meat in brine, dried or smoked",286504,83749,1
United States,0100000US,051,"Meat and poultry, fresh, chilled, or frozen, meat in brine, dried or smoked",454720,114196,1
United States,0100000US,052,"Fish (excludes live), seafood, and their preparations",55890,7787,1
United States,0100000US,052,"Fish (excludes live), seafood, and their preparations",50028,4992,1
United States,0100000US,053,"Preparations, extracts, and juices of meat, fish, or seafood",1949,610,1
United States,0100000US,053,"Preparations, extracts, and juices of meat, fish, or seafood",0,0,1
United States,0100000US,06,"Milled grain products and preparations, and bakery products",49767,23242,1
United States,0100000US,06,"Milled grain products and preparations, and bakery products",113992,38841,1
United States,0100000US,061,"Wheat flour, groats, and meal",1018,404,1
United States,0100000US,061,"Wheat flour, groats, and meal",2230,927,1
United States,0100000US,062,"Malt, milled rice and corn (broken, flour, groats, and meal, inulin, wheat gluten, milled cereals and other vegetables and grains)",807,1237,1
United States,0100000US,062,"Malt, milled rice and corn (broken, flour, groats, and meal, inulin, wheat gluten, milled cereals and other vegetables and grains)",0,0,1
United States,0100000US,063,"Bakery products and food preparations of cereals, flour, starch or milk",11483,5934,1
United States,0100000US,063,"Bakery products and food preparations of cereals, flour, starch or milk",26451,11853,1
United States,0100000US,064,Bakery products (includes frozen),36459,15667,1
United States,0100000US,064,Bakery products (includes frozen),83726,25428,1
United States,0100000US,07,Other prepared foodstuffs and fats and oils,246159,135342,1
United States,0100000US,07,Other prepared foodstuffs and fats and oils,489428,399296,1
United States,0100000US,071,Dairy products (excludes beverages and preparations of milk),142864,73144,1
United States,0100000US,071,Dairy products (excludes beverages and preparations of milk),229527,98246,1
United States,0100000US,072,"Processed or prepared vegetables, fruit, or nuts (excludes dried or milled, and juices)",31996,21231,1
United States,0100000US,072,"Processed or prepared vegetables, fruit, or nuts (excludes dried or milled, and juices)",73999,36792,1
United States,0100000US,073,"Coffee, tea, and spices (excludes unprocessed coffee and unfermented tea)",1664,985,1
United States,0100000US,073,"Coffee, tea, and spices (excludes unprocessed coffee and unfermented tea)",3699,1235,1
United States,0100000US,074,"Animal or vegetable fats and oils and their cleavage products, prepared",8216,7085,1
United States,0100000US,074,"Animal or vegetable fats and oils and their cleavage products, prepared",16872,8858,1
United States,0100000US,075,"Sugars confectionery, solid or syrups (excludes added flavoring or coloring)",640,930,1
United States,0100000US,075,"Sugars confectionery, solid or syrups (excludes added flavoring or coloring)",6154,0,1
United States,0100000US,076,"Confectionery, cocoa, and cocoa preparations",25043,6191,1
United States,0100000US,076,"Confectionery, cocoa, and cocoa preparations",35964,7114,1
United States,0100000US,077,"Edible preparations, not elsewhere classified, and vinegar",21133,9082,1
United States,0100000US,077,"Edible preparations, not elsewhere classified, and vinegar",30687,8057,1
United States,0100000US,078,"Nonalcoholic beverages, not elsewhere classified, and ice",14603,16694,1
United States,0100000US,078,"Nonalcoholic beverages, not elsewhere classified, and ice",92526,221822,1
United States,0100000US,08,Alcoholic beverages,33460,13107,1
United States,0100000US,08,Alcoholic beverages,270037,119981,1
United States,0100000US,081,Malt beer,16303,10004,1
United States,0100000US,081,Malt beer,137533,86166,1
United States,0100000US,082,Wine and other fermented beverages,13739,2420,1
United States,0100000US,082,Wine and other fermented beverages,60501,16285,1
United States,0100000US,083,Spirituous beverages and ethyl alcohol,3329,583,1
United States,0100000US,083,Spirituous beverages and ethyl alcohol,71199,16617,1
United States,0100000US,084,"Denatured ethyl alcohol, not for ingestion or use as biofuel",0,0,1
United States,0100000US,084,"Denatured ethyl alcohol, not for ingestion or use as biofuel",805,0,1
United States,0100000US,09,Tobacco products,2043,79,1
United States,0100000US,09,Tobacco products,5513,152,1
United States,0100000US,090,Tobacco products,2043,79,1
United States,0100000US,090,Tobacco products,5513,152,1
United States,0100000US,11,Natural sands,0,460,1
United States,0100000US,11,Natural sands,0,0,1
United States,0100000US,110,Natural sands (excludes metal-bearing),0,460,1
United States,0100000US,110,Natural sands (excludes metal-bearing),0,0,1
United States,0100000US,12,Gravel and crushed stone (excludes dolomite and slate),1,0,1
United States,0100000US,12,Gravel and crushed stone (excludes dolomite and slate),0,0,1
United States,0100000US,120,Gravel and crushed stone (excludes dolomite and slate),1,0,1
United States,0100000US,120,Gravel and crushed stone (excludes dolomite and slate),0,0,1
United States,0100000US,13,"Other non-metallic minerals, not elsewhere classified",47,1242,1
United States,0100000US,13,"Other non-metallic minerals, not elsewhere classified",0,15,1
United States,0100000US,131,Salt,0,9,1
United States,0100000US,131,Salt,0,15,1
United States,0100000US,139,"Other non-metallic minerals, not elsewhere classified",37,1234,1
United States,0100000US,14,Metallic ores and concentrates,423,0,1
United States,0100000US,149,Metallic ores and concentrates (excludes iron),423,0,1
United States,0100000US,17,Gasoline and aviation turbine fuel,4648,9282,1
United States,0100000US,17,Gasoline and aviation turbine fuel,17396,20304,1
United States,0100000US,171,Gasoline,0,8,1
United States,0100000US,171,Gasoline,12007,12510,1
United States,0100000US,172,Aviation turbine fuel (types A and B),1155,2541,1
United States,0100000US,172,Aviation turbine fuel (types A and B),435,469,1
United States,0100000US,175,"Ethanol, ethanol blends of more than 10 percent ethanol, and other fuel alcohols",1797,3450,1
