GEO_ID,NAME,INTPTLAT,INTPTLON
E330000US3610400000,"Albany-Schenectady, NY CFS Area; New York",43.1061353,-73.8553872
E330000US4299910900,"Allentown-Bethlehem-Easton, PA-NJ CFS Area (part); Pennsylvania",40.9183666,-75.7050387
E330000US1312200000,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CFS Area (part); Georgia",33.0744405,-84.1466893
E330000US4899912420,"Austin-Round Rock-Georgetown, TX CFS Area; Texas",29.8323986,-97.628141
E330000US2454812580,"Baltimore-Columbia-Towson, MD CFS Area; Maryland",39.3000324,-76.6104761
E330000US2299912940,"Baton Rouge, LA CFS Area; Louisiana",30.8397837,-91.0434338
E330000US4899913140,"Beaumont-Port Arthur, TX CFS Area; Texas",30.1223229,-93.8940999
E330000US0114200000,"Birmingham-Hoover-Talladega, AL CFS Area; Alabama",33.9773575,-86.56644
E330000US2514800000,"Boston-Worcester-Providence, MA-RI-NH-CT CFS Area (part); Massachusetts",42.3385513,-71.018253
E330000US3314800000,"Boston-Worcester-Providence, MA-RI-NH-CT CFS Area (part); New Hampshire",43.2995786,-71.6800412
E330000US4414800000,"Boston-Worcester-Providence, MA-RI-NH-CT CFS Area (part); Rhode Island",41.396792,-71.620282
E330000US3616000000,"Buffalo-Cheektowaga-Olean, NY CFS Area; New York",42.752759,-78.7781922
E330000US4599916700,"Charleston-North Charleston, SC CFS Area; South Carolina",33.0821859,-80.4046966
E330000US3717200000,"Charlotte-Concord, NC-SC CFS Area (part); North Carolina",35.4884909,-81.2268928
E330000US1717600000,"Chicago-Naperville, IL-IN-WI CFS Area (part); Illinois",41.4013043,-89.5283772
E330000US1817600000,"Chicago-Naperville, IL-IN-WI CFS Area (part); Indiana",41.0176883,-87.1188137
E330000US2117800000,"Cincinnati-Wilmington-Maysville, OH-KY-IN CFS Area (part); Kentucky",38.7556634,-84.8651432
E330000US3917800000,"Cincinnati-Wilmington-Maysville, OH-KY-IN CFS Area (part); Ohio",39.4397469,-84.5657341
E330000US3918400000,"Cleveland-Akron-Canton, OH CFS Area; Ohio",41.7781416,-81.1973297
E330000US3919800000,"Columbus-Marion-Zanesville, OH CFS Area; Ohio",39.5552462,-83.4618927
E330000US4820400000,"Corpus Christi-Kingsville-Alice, TX CFS Area; Texas",28.1226209,-96.9675012
E330000US4820600000,"Dallas-Fort Worth, TX-OK CFS Area (part); Texas",33.5911611,-96.1049882
E330000US3921200000,"Dayton-Springfield-Kettering, OH CFS Area; Ohio",40.1327753,-83.7676037
E330000US0821600000,"Denver-Aurora, CO CFS Area; Colorado",39.1189141,-105.7176479
