GEO_ID,NAME,INTPTLAT,INTPTLON
E330000US0634800000,"Los Angeles-Long Beach, CA CFS Area; California",34.0522,-118.2437
E330000US4828800000,"Houston-The Woodlands, TX CFS Area; Texas",29.7604,-95.3698
E330000US1717600000,"Chicago-Naperville, IL-IN-WI CFS Area (part); Illinois",41.8781,-87.6298
E330000US4820600000,"Dallas-Fort Worth, TX-OK CFS Area (part); Texas",32.7767,-96.797
E330000US4899999999,"Remainder of Texas, Texas",31.0545,-97.5635
E330000US1799999999,"Remainder of Illinois, Illinois",40.0417,-89.1965
E330000US4299999999,"Remainder of Pennsylvania, Pennsylvania",40.5908,-77.2098
E330000US0648800000,"San Jose-San Francisco-Oakland, CA CFS Area; California",37.3382,-121.8863
E330000US1312200000,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CFS Area (part); Georgia",33.749,-84.388
E330000US5599999999,"Remainder of Wisconsin, Wisconsin",44.2563,-89.6385
E330000US3440800000,"New York-Newark, NY-NJ-CT-PA CFS Area (part); New Jersey",40.7128,-74.006
E330000US1899999999,"Remainder of Indiana, Indiana",39.8647,-86.2604
E330000US2199999999,"Remainder of Kentucky, Kentucky",37.5347,-85.3021
E330000US5350000000,"Seattle-Tacoma, WA CFS Area; Washington",47.6062,-122.3321
E330000US2622000000,"Detroit-Warren-Ann Arbor, MI CFS Area; Michigan",42.3314,-83.0458
E330000US3640800000,"New York-Newark, NY-NJ-CT-PA CFS Area (part); New York",40.7128,-74.006
E330000US2737800000,"Minneapolis-St. Paul, MN-WI CFS Area (part); Minnesota",44.9778,-93.265
E330000US2514800000,"Boston-Worcester-Providence, MA-RI-NH-CT CFS Area (part); Massachusetts",42.3601,-71.0589
E330000US4848400000,"San Antonio-New Braunfels-Pearsall, TX CFS Area; Texas",29.4241,-98.4936
E330000US5699999999,"Remainder of Wyoming, Wyoming",43.076,-107.2903
E330000US2240600000,"New Orleans-Metairie-Hammond, LA-MS CFS Area (part); Louisiana",29.9511,-90.0715
E330000US2799999999,"Remainder of Minnesota, Minnesota",46.3956,-94.6859
E330000US2699999999,"Remainder of Michigan, Michigan",44.3467,-85.4102
E330000US5499999999,"Remainder of West Virginia, West Virginia",38.4912,-80.9545
E330000US1299999999,"Remainder of Florida, Florida",28.6305,-82.4497
E330000US3799999999,"Remainder of North Carolina, North Carolina",35.5557,-79.3877
E330000US0199999999,"Remainder of Alabama, Alabama",32.799,-86.8073
E330000US3919800000,"Columbus-Marion-Zanesville, OH CFS Area; Ohio",39.9612,-82.9988
E330000US3918400000,"Cleveland-Akron-Canton, OH CFS Area; Ohio",41.4993,-81.6944
E330000US5199999999,"Remainder of Virginia, Virginia",37.7693,-78.17
E330000US1237000000,"Miami-Port St. Lucie-Fort Lauderdale, FL CFS Area; Florida",25.7617,-80.1918
E330000US2099999999,"Remainder of Kansas, Kansas",38.5266,-96.7265
E330000US0599999999,"Remainder of Arkansas, Arkansas",34.8938,-92.4426
E330000US1399999999,"Remainder of Georgia, Georgia",32.6415,-83.4426
E330000US2999999999,"Remainder of Missouri, Missouri",38.3566,-92.458
E330000US2899999999,"Remainder of Mississippi, Mississippi",32.7364,-89.6678
E330000US2299912940,"Baton Rouge, LA CFS Area; Louisiana",30.4515,-91.1871
E330000US3199999999,"Remainder of Nebraska, Nebraska",41.5378,-99.7951
E330000US1999999999,"Remainder of Iowa, Iowa",42.0046,-93.214
E330000US0699999999,"Remainder of California, California",37.1841,-119.4696
E330000US1829400000,"Indianapolis-Carmel-Muncie, IN CFS Area; Indiana",39.7684,-86.1581
E330000US4243000000,"Pittsburgh-New Castle-Weirton, PA-OH-WV CFS Area (part); Pennsylvania",40.4406,-79.9959
E330000US2947600000,"St. Louis-St. Charles-Farmington, MO-IL CFS Area (part); Missouri",38.627,-90.1994
E330000US4242800000,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CFS Area (part); Pennsylvania",39.9526,-75.1652
E330000US0442900000,"Phoenix-Mesa, AZ CFS Area; Arizona",33.4484,-112.074
E330000US4799999999,"Remainder of Tennessee, Tennessee",35.7478,-86.6923
E330000US4144000000,"Portland-Vancouver-Salem, OR-WA CFS Area (part); Oregon",45.5231,-122.6765
E330000US3899999999,"Remainder of North Dakota, North Dakota",47.5515,-101.002
E330000US4899912420,"Austin-Round Rock-Georgetown, TX CFS Area; Texas",30.2672,-97.7431
E330000US4948200000,"Salt Lake City-Provo-Orem, UT CFS Area; Utah",40.7608,-111.891
E330000US0821600000,"Denver-Aurora, CO CFS Area; Colorado",39.7392,-104.9903
E330000US4899913140,"Beaumont-Port Arthur, TX CFS Area; Texas",30.086,-94.1018
E330000US3699999999,"Remainder of New York, New York",42.9538,-75.5268
E330000US1242200000,"Orlando-Lakeland-Deltona, FL CFS Area; Florida",28.5383,-81.3792
E330000US3442800000,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CFS Area (part); New Jersey",39.9526,-75.1652
E330000US4740000000,"Nashville-Davidson--Murfreesboro, TN CFS Area; Tennessee",36.1627,-86.7816
E330000US4099999999,"Remainder of Oklahoma, Oklahoma",35.5376,-96.9247
E330000US5537600000,"Milwaukee-Racine-Waukesha, WI CFS Area; Wisconsin",43.0389,-87.9065
E330000US4599999999,"Remainder of South Carolina, South Carolina",33.8569,-80.945
E330000US5399999999,"Remainder of Washington, Washington",47.4009,-121.4905
E330000US1817600000,"Chicago-Naperville, IL-IN-WI CFS Area (part); Indiana",41.8781,-87.6298
E330000US3726800000,"Greensboro--Winston-Salem--High Point, NC CFS Area; North Carolina",44.9429,-123.0351
E330000US0647200000,"Sacramento-Roseville, CA CFS Area; California",37.1841,-119.4696
E330000US4820400000,"Corpus Christi-Kingsville-Alice, TX CFS Area; Texas",27.8006,-97.3964
E330000US3745000000,"Raleigh-Durham-Cary, NC CFS Area; North Carolina",35.5557,-79.3877
E330000US2454812580,"Baltimore-Columbia-Towson, MD CFS Area; Maryland",34.0007,-81.0348
E330000US0114200000,"Birmingham-Hoover-Talladega, AL CFS Area; Alabama",33.5186,-86.8104
E330000US0699941740,"San Diego-Chula Vista-Carlsbad, CA CFS Area; California",37.1841,-119.4696
E330000US3717200000,"Charlotte-Concord, NC-SC CFS Area (part); North Carolina",35.2271,-80.8431
E330000US4736800000,"Memphis-Forrest City, TN-MS-AR CFS Area (part); Tennessee",35.1495,-90.049
E330000US1299945300,"Tampa-St. Petersburg-Clearwater, FL CFS Area; Florida",27.9506,-82.4572
E330000US1825800000,"Fort Wayne-Huntington-Auburn, IN CFS Area; Indiana",39.8647,-86.2604
E330000US3917800000,"Cincinnati-Wilmington-Maysville, OH-KY-IN CFS Area (part); Ohio",40.4173,-82.9071
E330000US4699999999,"Remainder of South Dakota, South Dakota",44.2998,-99.4388
E330000US2626600000,"Grand Rapids-Kentwood-Muskegon, MI CFS Area; Michigan",44.3467,-85.4102
E330000US1699999999,"Remainder of Idaho, Idaho",44.3509,-114.613
E330000US2232400000,"Lake Charles-Jennings, LA CFS Area; Louisiana",31.0689,-91.9968
E330000US2299999999,"Remainder of Louisiana, Louisiana",31.0689,-91.9968
