GEO_ID_origin,NAME_origin,GEO_ID_dest,NAME_dest,distance_miles
E330000US0634800000,"Los Angeles-Long Beach, CA CFS Area; California",E330000US4828800000,"Houston-The Woodlands, TX CFS Area; Texas",1370.92
E330000US0634800000,"Los Angeles-Long Beach, CA CFS Area; California",E330000US1717600000,"Chicago-Naperville, IL-IN-WI CFS Area (part); Illinois",1742.33
E330000US0634800000,"Los Angeles-Long Beach, CA CFS Area; California",E330000US4820600000,"Dallas-Fort Worth, TX-OK CFS Area (part); Texas",1237.78
E330000US0634800000,"Los Angeles-Long Beach, CA CFS Area; California",E330000US4899999999,"Remainder of Texas, Texas",1219.89
E330000US0634800000,"Los Angeles-Long Beach, CA CFS Area; California",E330000US1799999999,"Remainder of Illinois, Illinois",1646.41
E330000US0634800000,"Los Angeles-Long Beach, CA CFS Area; California",E330000US4299999999,"Remainder of Pennsylvania, Pennsylvania",2278.27
E330000US0634800000,"Los Angeles-Long Beach, CA CFS Area; California",E330000US0648800000,"San Jose-San Francisco-Oakland, CA CFS Area; California",305.44
E330000US0634800000,"Los Angeles-Long Beach, CA CFS Area; California",E330000US1312200000,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CFS Area (part); Georgia",1932.69
E330000US0634800000,"Los Angeles-Long Beach, CA CFS Area; California",E330000US5599999999,"Remainder of Wisconsin, Wisconsin",1675.64
E330000US0634800000,"Los Angeles-Long Beach, CA CFS Area; California",E330000US3440800000,"New York-Newark, NY-NJ-CT-PA CFS Area (part); New Jersey",2445.59
E330000US0634800000,"Los Angeles-Long Beach, CA CFS Area; California",E330000US1899999999,"Remainder of Indiana, Indiana",1800.69
E330000US0634800000,"Los Angeles-Long Beach, CA CFS Area; California",E330000US2199999999,"Remainder of Kentucky, Kentucky",1852.27
E330000US0634800000,"Los Angeles-Long Beach, CA CFS Area; California",E330000US5350000000,"Seattle-Tacoma, WA CFS Area; Washington",960.22
E330000US0634800000,"Los Angeles-Long Beach, CA CFS Area; California",E330000US2622000000,"Detroit-Warren-Ann Arbor, MI CFS Area; Michigan",1979.32
E330000US0634800000,"Los Angeles-Long Beach, CA CFS Area; California",E330000US3640800000,"New York-Newark, NY-NJ-CT-PA CFS Area (part); New York",2445.59
E330000US0634800000,"Los Angeles-Long Beach, CA CFS Area; California",E330000US2737800000,"Minneapolis-St. Paul, MN-WI CFS Area (part); Minnesota",1521.44
E330000US0634800000,"Los Angeles-Long Beach, CA CFS Area; California",E330000US2514800000,"Boston-Worcester-Providence, MA-RI-NH-CT CFS Area (part); Massachusetts",2590.9
E330000US0634800000,"Los Angeles-Long Beach, CA CFS Area; California",E330000US4848400000,"San Antonio-New Braunfels-Pearsall, TX CFS Area; Texas",1201.6
E330000US0634800000,"Los Angeles-Long Beach, CA CFS Area; California",E330000US5699999999,"Remainder of Wyoming, Wyoming",858.14
E330000US0634800000,"Los Angeles-Long Beach, CA CFS Area; California",E330000US2240600000,"New Orleans-Metairie-Hammond, LA-MS CFS Area (part); Louisiana",1669.43
E330000US0634800000,"Los Angeles-Long Beach, CA CFS Area; California",E330000US2799999999,"Remainder of Minnesota, Minnesota",1497.97
E330000US0634800000,"Los Angeles-Long Beach, CA CFS Area; California",E330000US2699999999,"Remainder of Michigan, Michigan",1880.8
E330000US0634800000,"Los Angeles-Long Beach, CA CFS Area; California",E330000US5499999999,"Remainder of West Virginia, West Virginia",2085.34
E330000US0634800000,"Los Angeles-Long Beach, CA CFS Area; California",E330000US1299999999,"Remainder of Florida, Florida",2134.18
E330000US0634800000,"Los Angeles-Long Beach, CA CFS Area; California",E330000US3799999999,"Remainder of North Carolina, North Carolina",2192.58
E330000US0634800000,"Los Angeles-Long Beach, CA CFS Area; California",E330000US0199999999,"Remainder of Alabama, Alabama",1807.77
E330000US0634800000,"Los Angeles-Long Beach, CA CFS Area; California",E330000US3919800000,"Columbus-Marion-Zanesville, OH CFS Area; Ohio",1973.65
E330000US0634800000,"Los Angeles-Long Beach, CA CFS Area; California",E330000US3918400000,"Cleveland-Akron-Canton, OH CFS Area; Ohio",2044.88
E330000US0634800000,"Los Angeles-Long Beach, CA CFS Area; California",E330000US5199999999,"Remainder of Virginia, Virginia",2240.12
E330000US0634800000,"Los Angeles-Long Beach, CA CFS Area; California",E330000US1237000000,"Miami-Port St. Lucie-Fort Lauderdale, FL CFS Area; Florida",2335.62
E330000US0634800000,"Los Angeles-Long Beach, CA CFS Area; California",E330000US2099999999,"Remainder of Kansas, Kansas",1234.4
E330000US0634800000,"Los Angeles-Long Beach, CA CFS Area; California",E330000US0599999999,"Remainder of Arkansas, Arkansas",1466.74
E330000US0634800000,"Los Angeles-Long Beach, CA CFS Area; California",E330000US1399999999,"Remainder of Georgia, Georgia",2001.36
E330000US0634800000,"Los Angeles-Long Beach, CA CFS Area; California",E330000US2999999999,"Remainder of Missouri, Missouri",1463.01
E330000US0634800000,"Los Angeles-Long Beach, CA CFS Area; California",E330000US2899999999,"Remainder of Mississippi, Mississippi",1645.62
E330000US0634800000,"Los Angeles-Long Beach, CA CFS Area; California",E330000US2299912940,"Baton Rouge, LA CFS Area; Louisiana",1595.71
E330000US0634800000,"Los Angeles-Long Beach, CA CFS Area; California",E330000US3199999999,"Remainder of Nebraska, Nebraska",1129.04
