GEO_ID,NAME,VAL,TON,val_norm,ton_norm,vulnerability_score,rank,is_metro,INTPTLAT,INTPTLON,nearest_port,nearest_port_type,nearest_port_miles,nearest_seaport,nearest_seaport_miles,min_distance_to_neighbor_miles,num_commodities,max_comm_val,dominant_commodity,val_ton_ratio
E330000US0634800000,"Los Angeles-Long Beach, CA CFS Area; California",7963786,2600915,1.0,0.704773660294855,0.8819,1,1,34.3587477,-119.1331453,Port of Los Angeles,seaport,66.2,Port of Los Angeles,66.2,124.51,368,1227627,All Commodities,3.1005
E330000US4828800000,"Houston-The Woodlands, TX CFS Area; Texas",4234584,3688463,0.5309952109772115,1.0,0.7186,2,1,29.5266017,-95.7710149,Port of Houston,seaport,32.57,Port of Houston,32.57,113.46,296,614886,All Commodities,1.1545
E330000US1717600000,"Chicago-Naperville, IL-IN-WI CFS Area (part); Illinois",4290270,1826711,0.5379985861447467,0.494607844068737,0.5206,3,1,41.4013043,-89.5283772,Chicago Intermodal Hub,rail_intermodal,103.42,Port of Baltimore,697.2,101.12,326,603186,All Commodities,2.4271
E330000US4820600000,"Dallas-Fort Worth, TX-OK CFS Area (part); Texas",3757121,2004621,0.4709468591901031,0.5429033842167971,0.4997,4,1,33.5911611,-96.1049882,Dallas Intermodal Hub,rail_intermodal,69.05,Port of Beaumont,268.97,145.89,313,556846,All Commodities,1.9022
E330000US4899999999,"Remainder of Texas, Texas",2166305,2499898,0.27087715997454,0.6773515334940199,0.4335,5,0,30.8852677,-99.8588613,Dallas Intermodal Hub,rail_intermodal,222.21,Port of Corpus Christi,258.66,86.08,310,290108,All Commodities,0.8799
E330000US1799999999,"Remainder of Illinois, Illinois",1649079,2143013,0.205827996371415,0.5804713477498774,0.3557,6,0,40.401318,-91.1688008,St. Louis Intermodal Hub,rail_intermodal,133.04,Port of New Orleans,724.39,110.05,302,234968,All Commodities,0.772
E330000US4299999999,"Remainder of Pennsylvania, Pennsylvania",2254797,1619762,0.2820063966826091,0.4384293620379301,0.3446,7,0,41.513304,-79.249705,Port of Baltimore,seaport,209.59,Port of Baltimore,209.59,81.04,336,316920,All Commodities,1.404
E330000US0648800000,"San Jose-San Francisco-Oakland, CA CFS Area; California",2676802,1208140,0.3350800478260875,0.3266902421074891,0.3317,8,1,38.5251824,-122.9261095,Port of Oakland,seaport,61.4,Port of Oakland,61.4,85.7,324,404498,All Commodities,2.3665
E330000US1312200000,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CFS Area (part); Georgia",2810434,932929,0.3518863372056098,0.2519813224307551,0.3119,9,1,33.0744405,-84.1466893,Atlanta Intermodal Hub,rail_intermodal,48.64,Port of Savannah,191.37,100.21,308,423851,All Commodities,3.0485
E330000US5599999999,"Remainder of Wisconsin, Wisconsin",1907979,1545598,0.2383886728587708,0.4182967644349807,0.3104,10,0,43.428001,-89.9433184,Chicago Intermodal Hub,rail_intermodal,159.01,Port of Baltimore,749.52,88.12,342,266696,All Commodities,1.2598
