GEO_ID,NAME,nearest_port,nearest_port_type,nearest_port_miles,nearest_seaport,nearest_seaport_miles
E330000US0634800000,"Los Angeles-Long Beach, CA CFS Area; California",Port of Los Angeles,seaport,66.2,Port of Los Angeles,66.2
E330000US4828800000,"Houston-The Woodlands, TX CFS Area; Texas",Port of Houston,seaport,32.57,Port of Houston,32.57
E330000US1717600000,"Chicago-Naperville, IL-IN-WI CFS Area (part); Illinois",Chicago Intermodal Hub,rail_intermodal,103.42,Port of Baltimore,697.2
E330000US4820600000,"Dallas-Fort Worth, TX-OK CFS Area (part); Texas",Dallas Intermodal Hub,rail_intermodal,69.05,Port of Beaumont,268.97
E330000US4899999999,"Remainder of Texas, Texas",Dallas Intermodal Hub,rail_intermodal,222.21,Port of Corpus Christi,258.66
E330000US1799999999,"Remainder of Illinois, Illinois",St. Louis Intermodal Hub,rail_intermodal,133.04,Port of New Orleans,724.39
E330000US4299999999,"Remainder of Pennsylvania, Pennsylvania",Port of Baltimore,seaport,209.59,Port of Baltimore,209.59
E330000US0648800000,"San Jose-San Francisco-Oakland, CA CFS Area; California",Port of Oakland,seaport,61.4,Port of Oakland,61.4
E330000US1312200000,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CFS Area (part); Georgia",Atlanta Intermodal Hub,rail_intermodal,48.64,Port of Savannah,191.37
E330000US5599999999,"Remainder of Wisconsin, Wisconsin",Chicago Intermodal Hub,rail_intermodal,159.01,Port of Baltimore,749.52
E330000US3440800000,"New York-Newark, NY-NJ-CT-PA CFS Area (part); New Jersey",Port of New York/New Jersey,seaport,46.08,Port of New York/New Jersey,46.08
E330000US1899999999,"Remainder of Indiana, Indiana",Chicago Intermodal Hub,rail_intermodal,246.67,Port of Baltimore,450.06
E330000US2199999999,"Remainder of Kentucky, Kentucky",Atlanta Intermodal Hub,rail_intermodal,210.06,Port of Savannah,396.13
E330000US5350000000,"Seattle-Tacoma, WA CFS Area; Washington",Port of Tacoma,seaport,47.79,Port of Tacoma,47.79
E330000US2622000000,"Detroit-Warren-Ann Arbor, MI CFS Area; Michigan",Chicago Intermodal Hub,rail_intermodal,225.72,Port of Baltimore,407.11
E330000US3640800000,"New York-Newark, NY-NJ-CT-PA CFS Area (part); New York",Port of New York/New Jersey,seaport,88.03,Port of New York/New Jersey,88.03
E330000US2737800000,"Minneapolis-St. Paul, MN-WI CFS Area (part); Minnesota",Chicago Intermodal Hub,rail_intermodal,409.24,Port of Baltimore,979.31
E330000US2514800000,"Boston-Worcester-Providence, MA-RI-NH-CT CFS Area (part); Massachusetts",Port of Boston,seaport,1.47,Port of Boston,1.47
E330000US4848400000,"San Antonio-New Braunfels-Pearsall, TX CFS Area; Texas",Port of Corpus Christi,seaport,174.64,Port of Corpus Christi,174.64
E330000US5699999999,"Remainder of Wyoming, Wyoming",Port of Portland,seaport,642.92,Port of Portland,642.92
E330000US2240600000,"New Orleans-Metairie-Hammond, LA-MS CFS Area (part); Louisiana",Port of New Orleans,seaport,50.34,Port of New Orleans,50.34
E330000US2799999999,"Remainder of Minnesota, Minnesota",Chicago Intermodal Hub,rail_intermodal,258.29,Port of Baltimore,857.64
E330000US2699999999,"Remainder of Michigan, Michigan",Chicago Intermodal Hub,rail_intermodal,252.79,Port of Baltimore,704.93
E330000US5499999999,"Remainder of West Virginia, West Virginia",Port of Baltimore,seaport,195.68,Port of Baltimore,195.68
E330000US1299999999,"Remainder of Florida, Florida",Port of Jacksonville,seaport,167.91,Port of Jacksonville,167.91
