GEO_ID,NAME,nearest_port,nearest_port_type,nearest_port_miles,nearest_seaport,nearest_seaport_miles
E330000US0634800000,"Los Angeles-Long Beach, CA CFS Area; California",Port of Long Beach,seaport,20.64,Port of Long Beach,20.64
E330000US4828800000,"Houston-The Woodlands, TX CFS Area; Texas",Port of Houston,seaport,5.74,Port of Houston,5.74
E330000US1717600000,"Chicago-Naperville, IL-IN-WI CFS Area (part); Illinois",Chicago Intermodal Hub,rail_intermodal,0.0,Port of Baltimore,607.02
E330000US4820600000,"Dallas-Fort Worth, TX-OK CFS Area (part); Texas",Dallas Intermodal Hub,rail_intermodal,0.0,Port of Houston,228.81
E330000US4899999999,"Remainder of Texas, Texas",Dallas Intermodal Hub,rail_intermodal,127.2,Port of Houston,163.97
E330000US1799999999,"Remainder of Illinois, Illinois",St. Louis Intermodal Hub,rail_intermodal,111.47,Port of Baltimore,672.86
E330000US4299999999,"Remainder of Pennsylvania, Pennsylvania",Port of Baltimore,seaport,97.63,Port of Baltimore,97.63
E330000US0648800000,"San Jose-San Francisco-Oakland, CA CFS Area; California",Port of Oakland,seaport,38.29,Port of Oakland,38.29
E330000US1312200000,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CFS Area (part); Georgia",Atlanta Intermodal Hub,rail_intermodal,0.0,Port of Savannah,224.06
E330000US5599999999,"Remainder of Wisconsin, Wisconsin",Chicago Intermodal Hub,rail_intermodal,193.07,Port of Baltimore,755.18
E330000US3440800000,"New York-Newark, NY-NJ-CT-PA CFS Area (part); New Jersey",Port of New York/New Jersey,seaport,2.84,Port of New York/New Jersey,2.84
E330000US1899999999,"Remainder of Indiana, Indiana",Chicago Intermodal Hub,rail_intermodal,156.43,Port of Baltimore,517.16
E330000US2199999999,"Remainder of Kentucky, Kentucky",Atlanta Intermodal Hub,rail_intermodal,266.55,Port of Charleston,446.52
E330000US5350000000,"Seattle-Tacoma, WA CFS Area; Washington",Port of Seattle,seaport,0.57,Port of Seattle,0.57
E330000US2622000000,"Detroit-Warren-Ann Arbor, MI CFS Area; Michigan",Chicago Intermodal Hub,rail_intermodal,237.03,Port of Baltimore,399.06
E330000US3640800000,"New York-Newark, NY-NJ-CT-PA CFS Area (part); New York",Port of New York/New Jersey,seaport,2.84,Port of New York/New Jersey,2.84
E330000US2737800000,"Minneapolis-St. Paul, MN-WI CFS Area (part); Minnesota",Chicago Intermodal Hub,rail_intermodal,354.58,Port of Baltimore,939.6
E330000US2514800000,"Boston-Worcester-Providence, MA-RI-NH-CT CFS Area (part); Massachusetts",Port of Boston,seaport,1.09,Port of Boston,1.09
E330000US4848400000,"San Antonio-New Braunfels-Pearsall, TX CFS Area; Texas",Port of Corpus Christi,seaport,129.44,Port of Corpus Christi,129.44
E330000US5699999999,"Remainder of Wyoming, Wyoming",Kansas City Intermodal Hub,rail_intermodal,715.78,Port of Portland,782.45
E330000US2240600000,"New Orleans-Metairie-Hammond, LA-MS CFS Area (part); Louisiana",Port of New Orleans,seaport,0.59,Port of New Orleans,0.59
E330000US2799999999,"Remainder of Minnesota, Minnesota",Chicago Intermodal Hub,rail_intermodal,468.54,Port of Baltimore,1038.1
E330000US2699999999,"Remainder of Michigan, Michigan",Chicago Intermodal Hub,rail_intermodal,204.01,Port of Baltimore,574.15
E330000US5499999999,"Remainder of West Virginia, West Virginia",Port of Baltimore,seaport,241.36,Port of Baltimore,241.36
E330000US1299999999,"Remainder of Florida, Florida",Port of Tampa,seaport,48.26,Port of Tampa,48.26
E330000US3799999999,"Remainder of North Carolina, North Carolina",Port of Charleston,seaport,194.27,Port of Charleston,194.27
E330000US0199999999,"Remainder of Alabama, Alabama",Atlanta Intermodal Hub,rail_intermodal,154.4,Port of New Orleans,274.71
E330000US3919800000,"Columbus-Marion-Zanesville, OH CFS Area; Ohio",Chicago Intermodal Hub,rail_intermodal,275.63,Port of Baltimore,345.08
E330000US3918400000,"Cleveland-Akron-Canton, OH CFS Area; Ohio",Chicago Intermodal Hub,rail_intermodal,307.31,Port of Baltimore,310.38
E330000US5199999999,"Remainder of Virginia, Virginia",Port of Norfolk/Virginia,seaport,116.56,Port of Norfolk/Virginia,116.56
E330000US1237000000,"Miami-Port St. Lucie-Fort Lauderdale, FL CFS Area; Florida",Port of Miami,seaport,1.6,Port of Miami,1.6
E330000US2099999999,"Remainder of Kansas, Kansas",Kansas City Intermodal Hub,rail_intermodal,122.23,Port of Beaumont,602.07
E330000US0599999999,"Remainder of Arkansas, Arkansas",Memphis Intermodal Hub,rail_intermodal,136.58,Port of Beaumont,346.61
E330000US1399999999,"Remainder of Georgia, Georgia",Atlanta Intermodal Hub,rail_intermodal,94.04,Port of Savannah,143.22
E330000US2999999999,"Remainder of Missouri, Missouri",St. Louis Intermodal Hub,rail_intermodal,123.56,Port of Beaumont,579.6
E330000US2899999999,"Remainder of Mississippi, Mississippi",Memphis Intermodal Hub,rail_intermodal,168.16,Port of New Orleans,193.53
E330000US2299912940,"Baton Rouge, LA CFS Area; Louisiana",Port of New Orleans,seaport,75.34,Port of New Orleans,75.34
E330000US3199999999,"Remainder of Nebraska, Nebraska",Kansas City Intermodal Hub,rail_intermodal,322.24,Port of Beaumont,852.49
